SITC,Name
6577,Textiles Fabrics for Machinery
6579,Special Products of Textile
6580,"Made-up articles, wholly or chiefly of textile materials, nes"
6581,Textile Bags
6582,Textile Camping Goods
6583,Blankets
6584,Linens
6589,Miscellaneous Textile Articles
6590,"Floor coverings, etc"
6591,Linoleum
6592,Knotted Carpets
6593,Hand Woven Rugs
6594,Wool Carpets
6595,Miscellaneous Man Made Carpets
6596,Miscellaneous Carpets
6597,Plaited Products
6610,"Lime, cement, and fabricated construction materials"
6611,Lime
6612,Cement
6613,Worked Building Stone
6618,Fiber Cements
6620,Clay and refractory construction materials
6623,Refractory Bricks
6624,Building Materials
6630,"Mineral manufactures, nes"
6631,Polishing Stones
6632,Abrasive Powder
6633,Miscellaneous Mineral Materials
6635,Mineral Wool
6637,Miscellaneous Refractory Goods
6638,Asbestos Products
6639,Miscellaneous Ceramic Articles
6640,Glass
6641,"Nonoptical Glass Balls, Rods or Tubes"
6642,Optical Glass
6643,Blown Glass
6644,Unworked Surface Ground Cast Glass
6645,Unworked Cast Glass
6646,Pressed or Moulded Glass
6647,Safety Glass
6648,Mirrors
6649,Miscellaneous Glass
6650,Glassware
6651,Glass Bottles
6652,Glassware
6658,Miscellaneous Articles of Glass
6660,Pottery
6664,Porcelain
6665,Pottery
6666,Miscellaneous Ceramic Ornaments
6670,"Pearl, precious and semi-precious stones, unworked or worked"
6671,Unmounted Pearls
6672,Diamonds
6673,Unmounted Precious Stones
6674,Synthetic Precious Stones
6710,"Pig and sponge iron, spiegeleisen, etc, and ferro-alloys"
6712,Pig and Cast Iron
6713,Iron and Steel Powders
6716,Ferro-alloys
6720,"Ingots and other primary forms, of iron or steel"
6724,Blocks of Iron and Steel
6725,Iron Billets
6727,Iron Coils
6730,"Iron and steel bars, rods, shapes and sections"
6731,Iron Wire
6732,Iron Bars and Rods
6733,Iron Shapes
6740,"Universals, plates, and sheets, of iron or steel"
6741,Universal plates of iron or steel
6744,Thick Iron Sheets
6745,Iron Sheets
6746,Thin Iron Sheets
6747,Tinned Sheets
6749,Miscellaneous Processed Iron
6750,Iron or steel hot or cold rolled
6760,Metal Railway Material
6770,Uninsulated Steel Wire
6780,"Tube, pipes and fittings, of iron or steel"
6781,Iron Pipes
6782,Seamless Iron Tubes
6783,Miscellaneous Iron Tubes and Pipes
6784,High-pressure hydro-electric conduits of steel
6785,Iron Tubes
6790,"Iron, steel casting, forging and stamping, in the rough state, nes"
6793,Iron and Steel Forging
6794,Rough Iron Castings
6810,"Silver, platinum and other metals of the platinum group"
6811,Silver
6812,Platinum
6820,Copper
6821,Copper
6822,Processed Copper
6830,Nickel
6831,Nickel
6832,Worked Nickel
6840,Aluminium
6841,Aluminum
6842,Processed Aluminium
6850,Lead
6851,Unwrought Lead
6852,Worked Lead
6860,Zinc
6861,Unwrought Zinc
6863,Zinc
6870,Tin
6871,Unwrought Tin and Alloys
6872,Worked Tin and Alloys
6880,Depleted Uranium
6891,"Unwrought Tungsten, Molybdenum, Tantalum and Magnesium"
6899,Unwrought Base Metals
6900,"Manufactures of metals, nes"
6910,"Structures and parts, nes, of iron, steel or aluminium"
6911,Iron Structures
6912,Aluminium Structures
6920,Metal containers for storage and transport
6921,Reservoir Tanks
6924,Metal Containers
6930,Wire products (excluding insulated electrical wire); fencing grills
6931,Metal Cables
6932,Barbed Wire
6935,Gauze and Netting
6940,Fasteners
6950,Tools for use in machines or by hand
6951,Farming Hand Tools
6953,Miscellaneous Hand Tools
6954,Interchangeable Tool Parts
6960,Cutlery
6970,"Household equipment of base metal, nes"
6973,Domestic Non-Electric Stoves
6974,Miscellaneous Domestic Articles of Base Metals
6975,Miscellaneous Indoors Sanitary Ware of Base Metal
6978,Miscellaneous Base Metal Household Appliances
6990,"Manufactures of base metal, nes"
6991,Locksmith Hardware
6992,Metal Chains
6993,Pins and Needles
6994,Metal Springs
6996,Miscellaneous Articles of Base Metals
6997,Miscellaneous Articles of Iron
6998,Miscellaneous Metal Articles
6999,Miscellaneous Base Metal Manufactures
7000,Machinery and transport equipment
7100,Power generating machinery and equipment
7110,Steam & other vapour generating boilers & parts
7111,Steam Water Boilers
7112,Condensers
7119,Miscellaneous Boiler Parts
7120,"Steam engines, turbines"
7126,Steam Power Units
7129,Miscellaneous Parts of Steam Power Units
7130,Internal combustion piston engines and parts
7131,Internal Combustion Engines for Aircraft
7132,Motor Vehicles Piston Engines
7133,Internal Combustion Engines for Boats
7138,Miscellaneous Combustion Engines
7139,Piston Engine Parts
7140,Non-electric engines and motors
7144,Reaction Engines
7148,Miscellaneous Gas Turbines
7149,Parts of Gas Turbines and Reaction Engines
7160,"Rotating electric plant and parts thereof, nes"
7161,DC Motors
7162,Electric Motors and AC Generators
7163,Rotary Converters
7169,Miscellaneous Rotating Electric Plant Parts
7187,Nuclear Reactors
7188,Miscellaneous Engines
7200,Machinery specialized for specific industries
7210,"Agricultural machinery (excluding tractors) and parts thereof, nes"
7211,Soil Preparation Machinery
7212,Harvesting Machines
7213,Dairy Machinery
7219,Miscellaneous Agricultural Machinery
7220,Non-road tractors
7223,Track Laying Tractors
7224,Tractors
7230,Civil engineering equipment
7233,Road Rollers
7234,Construction Machinery
7239,Miscellaneous Machinery
7240,Textile and leather machinery
7243,Sewing Machinery
7244,Textile Machinery
7245,Yarn Preparing Machines
7246,Auxiliary Weaving Machinery
7247,Miscellaneous Textile Machinery
7248,Leather Tanning Machinery
7250,Paper & pulp mill machinery
7251,Cellulose Pulp Making Machines
7252,Paper Making Machines
7259,Paper Making Machine Parts
7260,"Printing, bookbinding machinery, and parts thereof, nes"
7263,Type Setting Machines
7264,Printing Presses
7267,Miscellaneous Printing Machines
7268,Bookbinding Machines
7269,Printing Machine Parts
7271,Grain Milling Machinery
7272,Miscellaneous Food-Processing Machinery
7280,"Other machinery, equipment, for specialized industries; parts nes"
7281,Machine Tools for Specialized Industries
7283,Miscellaneous Mineral Working Tools
7284,Machinery for Specialized Industries
7300,Metalworking machinery
7360,"Metalworking machine-tools, parts and accessories thereof"
7361,Metal Cutting Machines
7362,Metal Forming Machine Tool
7367,Miscellaneous Metalworking Machine-Tools
7368,Tool Holders
7369,Parts of Metalworking Machine Tools
7370,"Metalworking machinery (other than machine-tools), and parts, nes"
7371,Miscellaneous Metallurgy Equipment
7372,Rolling Mills
7373,Miscellaneous Metalworking Machinery
7400,"General industrial machinery and equipment, nes, and parts of, nes"
7411,Gas Generators
7412,Furnaces
7413,Industrial Furnaces and Ovens
7414,Miscellaneous Refrigeration Equipment
7415,Air Conditioners
7416,Miscellaneous Heating and Cooling Equipment
7420,"Pumps for liquids; liquid elevators; and parts thereof, nes"
7421,Reciprocating Pumps
7422,Centrifugal Pumps
7423,Rotary Pumps
7428,Miscellaneous Pumps
7429,Miscellaneous Liquid Pump Parts
7430,"Pumps, compressors, fans and blowers"
7431,Air Pumps and Compressors
7432,Miscellaneous Pump Parts
7433,Free-piston generators for gas turbines and parts
7434,Fans and Blowers
7435,Centrifuges
7436,Filtering and Purifying Machinery
7439,Miscellaneous Centrifuge and Filtering Machinery
7440,Mechanical handling equipment and parts
7441,Factory Trucks
7442,Lifting and Loading Machinery
7449,Miscellaneous Parts of Lifting Machinery
7451,Pneumatic Power Hand Tools
7452,Miscellaneous Non-Electrical Machines
7490,"Non-electric parts and accessories of machinery, nes"
7491,Roller Bearings
7492,Valves
7493,Pulley System Parts
7499,Miscellaneous Non-Electrical Machinery Parts
7500,Office machines and automatic data processing equipment
7510,Office machines
7511,Typewriters
7512,Calculating Machines
7518,Miscellaneous Office Equipment
7520,Automatic data processing machines
7521,Analog Computers
7522,Personal Computers
7523,CPUs
7524,Digital storage units
7525,Computer Peripherals
7528,Miscellaneous Data Processing Equipment
7590,"Parts, nes of and accessories for machines of headings 751 or 752"
7591,Parts of Office Machines
7599,Computer Parts and Accessories
7610,Television receivers
7611,Color TVs
7612,Black and White TV
7620,Radio-broadcast receivers
7621,Vehicles Stereos
7622,Portable Stereos
7628,Miscellaneous Stereo Equipment
7630,Sound recording devices
7631,Recorded Audio Players
7638,Video and Sound Recorders
7640,"Telecommunication equipment, nes; parts and accessories, nes"
7641,Telephone Line
7642,Audio Amplifiers
7643,TV and Radio Transmitters
7648,Miscellaneous Telecom Equipment
7649,Telecom Parts and Accessories
7711,Electrical Transformers
7712,Miscellaneous Power Machinery
7720,Electrical apparatus for making and breaking electrical circuits
7721,Circuit Breakers and Panels
7722,Printed Circuits
7723,Electrical Resistors
7730,Equipment for distribution of electricity
7731,Electric Wire
7732,Electrical Insulators
7740,Electro-medical and radiological equipment
7741,Electrical Medical Equipment
7742,X-Ray Equipment
7750,"Household type equipment, nes"
7751,Washing Machines
7752,Household Refrigeration
7753,Dishwashers
7754,Shavers and Hair Clippers
7757,Home Electrical Appliances
7758,Electric Heating Devices
7760,"Thermionic, microcircuits, transistors, valves, etc"
7761,TV Tubes and Cathode Rays
7762,Electronic Valves and Tubes
7763,"Diodes, Transistors and Photocells"
7764,Electronic Microcircuits
7768,Miscellaneous Electronic Circuit Parts
7780,Other electrical machinery
7781,Batteries
7782,Lightbulbs
7783,Automotive Electrical Equipment
7784,Power Tools
7788,Miscellaneous Electrical Machinery
7800,Road vehicles
7810,Cars
7821,Trucks and Vans
7822,Special Purpose Trucks and Vans
7831,Public Passenger Vehicles
7832,Tractor Units
7840,Parts & accessories of motor vehicles
7841,Chassis with Engines
7842,Vehicle Bodies
7849,Vehicles Parts and Accessories
7850,"Motorcycles, scooters and motorized wheelchairs"
7851,Motorcycles
7852,Bicycles
7853,Wheelchairs
7860,"Trailers, and other vehicles, not motorized"
7861,Transportation Containers
7868,Non-Mechanically Propelled Vehicles
7900,Other transport equipment
7910,Railway vehicles and associated equipment
7911,Electric Trains
7912,Miscellaneous Rail Locomotives
7913,Mechanically Propelled Railway
7914,Railway Passenger Cars
7915,Rail Freight Transport
7918,Railway or tramway freight and maintenance cars
7919,Railway Track Fixtures and Fittings
7920,Aircraft and equipment and parts
7921,Helicopters
7922,Small Aircraft
7923,Aircraft
7924,Large Aircraft
7928,Miscellaneous Aircraft Equipment
7929,Aircraft Parts and Accessories
7930,"Ships, boats and floating structures"
7931,Warships
7932,Ships and Boats
7933,Ships for Disposal
7938,Miscellaneous Boats and Floating Structures
8000,Miscellaneous manufactured articles
8120,"Sanitary, plumbing, heating, lighting fixtures and fittings, nes"
8121,Furnaces
8122,Ceramic Fixtures
8124,Lighting Fixtures
8210,Furniture and parts thereof
8211,Chairs and Couches
8212,Medical Furniture
8219,Miscellaneous Furniture
8310,Luggage
8400,Articles of apparel and clothing accessories
8420,"Men's and boys' outerwear, textile fabrics not knitted or crocheted"
8421,Men's Coats
8422,Men's Suits
8423,Men's Pants
8424,Men's Jackets
8429,Miscellaneous Men's Outerwear
8430,"Womens, girls, infants outerwear, textile, not knitted or crocheted"
8431,Women's Coats
8432,Women's Suits
8433,Dresses
8434,Skirts
8435,Blouses
8439,Miscellaneous Feminine Outerwear
8440,"Under garments of textile fabrics, not knitted or crocheted"
8441,Men's Shirts
8442,Men's Underwear
8443,Women's Underwear
8450,"Articles of apparel, of textile fabrics, whether or not knitted or crocheted"
8451,Knitted Outerwear
8452,Women's Knitted Outerwear
8459,Miscellaneous Knitted Outerwear
8460,"Under-garments, knitted or crocheted"
8461,Wool Undergarments
8462,Cotton Undergarments
8463,Synthetic Knitted Undergarments
8464,Undergarments of Other Fibres
8465,Lingerie
8470,"Clothing accessories, of textile fabrics, nes"
8471,Textile Fabrics Clothing Accessories
8472,Knit Clothing Accessories
8480,"Articles of apparel, clothing accessories, non-textile, headgear"
8481,Leather Accessories
8482,Plastic or Rubber Clothing
8483,Fur Clothing
8484,Headgear
8510,Footwear
8710,Optical Instruments
8720,Medical Instruments
8731,"Gas, Liquid and Electric Meters"
8732,Non-Electrical Counting Devices
8740,"Measuring, checking and analysing instruments"
8741,Analog Navigation Devices
8742,Mathematical Calculation Instruments
8743,Control Instruments of Gas or Liquid
8744,Analog Instruments for Physical Analysis
8745,Measuring Controlling Instruments
8748,Miscellaneous Electrical Instruments
8749,Measuring Instrument Parts
8810,"Photographic apparatus and equipment, nes"
8811,Cameras
8812,Movie Cameras and Equipment
8813,Photo and Movie Equipment
8820,Photographic and cinematographic supplies
8821,Photographic Chemicals
8822,Photographic Film
8830,Developed Cinema Film
8841,Optical Lenses
8842,Eyewear
8850,Watches and clocks
8851,Watches
8852,Clocks
8900,Miscellaneous manufactured articles
8920,Printed matter
8921,Printed Books and Maps
8922,Newspapers and Journals
8924,Cards and Decals
8928,Miscellaneous Printed Matter
8930,"Articles, nes of plastic materials"
8931,Plastic Storage Containers
8932,Plastic Sanitary Articles
8933,Plastic Ornaments
8935,Plastic Lamps
8939,Miscellaneous Articles of Plastic
8940,"Baby carriages, toys, games and sporting goods"
8941,Baby Carriages
8942,Toys and Games
8946,Non-Military Arms
8947,Sporting Goods
8950,"Office and stationary supplies, nes"
8951,Metal Office Products
8952,Pens and Pencils
8959,Miscellaneous Office and Stationary Supplies
8960,Artwork
8970,"Jewellery, gold and other articles of precious metal"
8972,Imitation Jewellery
8973,Precious Jewellery
8974,Miscellaneous Articles of Precious Metals
8980,"Musical instruments, parts and accessories thereof"
8981,Pianos and String Instruments
8982,Miscellaneous Musical Instruments
8983,Sound Recording Media
8989,Musical Instrument Parts
8990,"Other miscellaneous manufactured articles, nes"
8991,Carving and Molding Tools
8993,Candles and Matches
8994,Umbrellas and Canes
8996,Orthopedic Devices
8997,Basketwork
8998,Miscellaneous Small Wares
8999,Miscellaneous Manufactured Goods
9110,Postal packages
9310,Unclassified Transactions
9410,Miscellaneous Live Animals
9510,"Armoured Vehicles, Firearms and Ammunition"
9610,Non-Gold Coin
9710,Gold
